tool		SPF Tuesday 26 August 2025 03:16:19 AM IST	SPF Tuesday 26 August 2025 03:16:19 AM IST	SPF Tuesday 26 August 2025 03:16:19 AM IST	SPF Tuesday 26 August 2025 03:16:19 AM IST
run set		SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java
sv-benchmarks/java/		status	cputime (s)	walltime (s)	memory (MB)
jbmc-regression/exceptions5.yml	true	true	1.452154	1.4738115459995242	53.608448
jbmc-regression/exceptions6.yml	false	false	1.389518	1.392408445000001	53.039104
jbmc-regression/exceptions7.yml	false	false	1.408376	1.4213765800004694	53.776384
jbmc-regression/exceptions8.yml	false	false	1.433557	1.4464391800001977	53.903360
jbmc-regression/exceptions9.yml	true	true	1.884369	1.8925663720001467	55.906304
jbmc-regression/fcmpx_dcmpx1.yml	true	true	1.379352	1.3883739230004721	55.066624
jbmc-regression/iarith1.yml	true	true	1.418245	1.4392666150006335	53.035008
jbmc-regression/iarith2.yml	true	true	1.752755	1.7724010740002996	53.870592
jbmc-regression/if_acmp1.yml	true	true	1.39275	1.405727420000403	55.906304
jbmc-regression/if_expr1.yml	true	true	1.593452	1.6071872400007123	100.204544
jbmc-regression/if_icmp1.yml	true	true	1.766999	1.7804648559995258	101.314560
jbmc-regression/ifxx1.yml	true	true	1.35991	1.3804000400004952	53.985280
jbmc-regression/instanceof1.yml	true	true	1.811171	1.820678682000107	53.268480
jbmc-regression/instanceof2.yml	true	true	1.414899	1.4296030229997996	55.050240
jbmc-regression/instanceof3.yml	true	true	1.751352	1.7645385629994053	55.435264
jbmc-regression/instanceof4.yml	true	true	1.390052	1.4029650590000529	53.604352
jbmc-regression/instanceof5.yml	true	true	1.371191	1.383925531999921	53.465088
jbmc-regression/instanceof6.yml	true	true	1.359958	1.3731174829999873	53.219328
jbmc-regression/instanceof7.yml	true	true	1.380697	1.3832838019998235	55.574528
jbmc-regression/instanceof8.yml	true	true	1.755741	1.7589442359994791	53.166080
jbmc-regression/interface1.yml	false	false	1.740219	1.7434807469999214	54.173696
jbmc-regression/java_append_char.yml	false	false	1.752016	1.7550606209997568	113.963008
jbmc-regression/lazyloading4.yml	true	true	1.386648	1.4090490000007776	54.255616
jbmc-regression/list1.yml	true	unknown	1.642463	1.653879281000627	97.177600
jbmc-regression/long1.yml	true	true	1.397624	1.4174197009997442	55.988224
jbmc-regression/lookupswitch1.yml	true	true	2.980849	2.993387804000122	103.989248
jbmc-regression/multinewarray.yml	true	true	1.741989	1.7521875350003029	53.198848
jbmc-regression/overloading1.yml	true	true	1.412648	1.4343687549999231	56.512512
jbmc-regression/package1.yml	true	true	1.383886	1.4017700680005873	56.320000
jbmc-regression/putfield_getfield1.yml	true	true	1.345398	1.3584734969999772	53.202944
jbmc-regression/putstatic_getstatic1.yml	true	true	1.378125	1.4002448860001095	56.033280
jbmc-regression/recursion2.yml	true	true	1.410228	1.430506033999336	53.194752
jbmc-regression/return1.yml	false	false	1.724187	1.7371199939998405	54.009856
jbmc-regression/return2.yml	false	false	1.700318	1.7102230139998937	101.154816
jbmc-regression/store_load1.yml	true	true	1.411808	1.43337545400027	57.331712
