tool		SPF Saturday 26 July 2025 04:22:44 AM IST	SPF Saturday 26 July 2025 04:22:44 AM IST	SPF Saturday 26 July 2025 04:22:44 AM IST	SPF Saturday 26 July 2025 04:22:44 AM IST
run set		SV-COMP25_runtime-exception.RuntimeException-Java	SV-COMP25_runtime-exception.RuntimeException-Java	SV-COMP25_runtime-exception.RuntimeException-Java	SV-COMP25_runtime-exception.RuntimeException-Java
sv-benchmarks/java/		status	cputime (s)	walltime (s)	memory (MB)
jbmc-regression/assert5.yml	true	true	1.997427	2.0190143149993673	78.958592
jbmc-regression/assert6.yml	true	true	2.034674	2.06610255600026	78.323712
jbmc-regression/astore_aload1.yml	true	true	2.051195	2.1252527960004954	53.403648
jbmc-regression/athrow1.yml	true	false	2.002377	2.0288578740000958	55.177216
jbmc-regression/basic1.yml	true	true	1.767173	1.7923587060004138	53.788672
jbmc-regression/bitwise1.yml	true	true	1.761326	1.773777205999977	83.525632
jbmc-regression/boolean1.yml	true	true	1.78492	1.8073173680004402	78.950400
jbmc-regression/boolean2.yml	true	true	2.076319	2.0894544470002074	78.163968
jbmc-regression/bug-test-gen-095.yml	true	unknown	1.750994	1.7540066800002023	57.147392
jbmc-regression/bug-test-gen-119-2.yml	true	true	1.674777	1.6869403609998699	55.500800
jbmc-regression/bug-test-gen-119.yml	true	unknown	1.813578	1.8457793020006648	78.430208
jbmc-regression/calc.yml	true	true	90.492888	90.90118038299988	126.398464
jbmc-regression/cast1.yml	true	true	1.800836	1.8046723759998713	79.368192
jbmc-regression/catch1.yml	true	true	2.001841	2.023060694999913	52.981760
jbmc-regression/char1.yml	true	unknown	1.71966	1.742926730000363	58.462208
jbmc-regression/charArray.yml	true	unknown	1.904802	1.9168000050003684	57.274368
jbmc-regression/classtest1.yml	true	true	1.988601	2.013316089	53.465088
jbmc-regression/const1.yml	true	true	1.885885	1.9161569620000591	54.743040
jbmc-regression/constructor1.yml	true	true	1.938461	1.989057519999733	53.551104
jbmc-regression/enum1.yml	true	true	2.069798	2.166354394999871	53.211136
jbmc-regression/exceptions1.yml	true	false	1.814585	1.9354885560005641	54.525952
jbmc-regression/exceptions10.yml	true	false	1.830472	1.851850801999717	53.792768
jbmc-regression/exceptions11.yml	true	false	1.7802	1.807196909000595	52.764672
jbmc-regression/exceptions12.yml	true	false	2.042754	2.056468310999662	54.890496
jbmc-regression/exceptions13.yml	true	false	1.951591	1.9738856989997657	53.915648
jbmc-regression/exceptions14.yml	true	true	1.936242	2.0239101950000986	53.583872
jbmc-regression/exceptions15.yml	true	true	2.06191	2.2461173470001086	54.431744
jbmc-regression/exceptions16.yml	true	false	1.832752	1.8800458400000934	54.329344
jbmc-regression/exceptions18.yml	true	true	1.701075	1.7333489799993913	54.128640
jbmc-regression/exceptions2.yml	true	false	1.612279	1.6373857449998468	53.874688
jbmc-regression/exceptions3.yml	true	false	1.92314	1.947604663000675	53.112832
jbmc-regression/exceptions4.yml	true	true	1.682155	1.6948146699996869	53.145600
jbmc-regression/exceptions5.yml	true	true	1.679808	1.7000769679998484	53.723136
jbmc-regression/exceptions6.yml	true	false	1.598923	1.6210625720004828	55.701504
jbmc-regression/exceptions7.yml	true	false	1.966524	1.9835856449999483	53.551104
jbmc-regression/exceptions8.yml	true	false	1.689004	1.7080238610005836	53.608448
jbmc-regression/exceptions9.yml	true	true	1.649034	1.674327059999996	52.736000
jbmc-regression/fcmpx_dcmpx1.yml	true	true	1.604187	1.6131114890004028	53.219328
jbmc-regression/iarith1.yml	true	true	1.947845	1.9608156080003027	53.329920
jbmc-regression/iarith2.yml	true	true	1.60227	1.612901286000124	52.686848
jbmc-regression/if_acmp1.yml	true	true	1.690752	1.7246372990002783	53.534720
jbmc-regression/if_expr1.yml	true	true	1.768502	1.772156005999932	78.680064
jbmc-regression/if_icmp1.yml	true	true	1.924946	1.9409129189998566	78.340096
jbmc-regression/ifxx1.yml	true	true	1.98685	1.9994181419997403	54.583296
jbmc-regression/instanceof1.yml	true	true	1.781353	1.8188452200001848	53.354496
jbmc-regression/instanceof2.yml	true	true	1.883925	1.8970885759999874	53.002240
jbmc-regression/instanceof3.yml	true	true	1.808703	1.8322684220001975	53.915648
jbmc-regression/instanceof4.yml	true	true	1.994506	2.0191800809998313	53.596160
jbmc-regression/instanceof5.yml	true	true	1.734298	1.7838647030002903	53.571584
jbmc-regression/instanceof6.yml	true	true	1.700813	1.7113380590008092	53.420032
jbmc-regression/instanceof7.yml	true	true	1.548233	1.570425828000225	53.493760
jbmc-regression/instanceof8.yml	true	true	1.908169	1.9314853519999815	53.153792
jbmc-regression/interface1.yml	true	false	1.623776	1.6565548379994652	54.878208
jbmc-regression/java_append_char.yml	true	false	1.775966	1.7975857450001058	79.167488
jbmc-regression/lazyloading4.yml	true	true	1.823058	1.8523524920001364	53.174272
jbmc-regression/list1.yml	true	true	72.169183	72.96446172800006	163.704832
jbmc-regression/long1.yml	true	true	2.062299	2.105961362999551	54.833152
jbmc-regression/lookupswitch1.yml	true	true	2.109326	2.1946889060000103	77.860864
jbmc-regression/multinewarray.yml	true	true	1.976345	2.046294382999804	55.402496
jbmc-regression/overloading1.yml	true	true	1.973787	2.001442286999918	53.424128
jbmc-regression/package1.yml	true	true	1.685236	1.7090586900003473	53.989376
jbmc-regression/putfield_getfield1.yml	true	true	1.634553	1.6539738869996654	52.895744
jbmc-regression/putstatic_getstatic1.yml	true	true	1.616334	1.6289091879998523	53.014528
jbmc-regression/recursion2.yml	true	true	1.939601	1.9524756170003457	52.916224
jbmc-regression/return1.yml	true	false	1.663685	1.6821774600002755	53.395456
jbmc-regression/return2.yml	true	false	1.772319	1.7956161510001039	78.106624
jbmc-regression/store_load1.yml	true	true	1.944954	1.9589204539997809	53.780480
jbmc-regression/swap1.yml	true	true	1.644693	1.657324781999705	54.890496
jbmc-regression/synchronized.yml	true	true	1.674465	1.7510341360002712	52.719616
jbmc-regression/tableswitch1.yml	true	true	2.18895	2.287912019000032	78.958592
jbmc-regression/uninitialised1.yml	true	true	1.672354	1.7276410369995574	55.517184
jbmc-regression/virtual1.yml	true	true	1.585709	1.6055941620006706	53.301248
jbmc-regression/virtual2.yml	true	false	1.672116	1.692432882000503	54.829056
jbmc-regression/virtual4.yml	true	true	1.957468	1.9786246029998438	54.431744
jbmc-regression/virtual_function_unwinding.yml	true	true	1.625301	1.6413523129995156	54.644736
jpf-regression/ExDarko_false.yml	true	false	1.865304	1.8785738680007853	79.069184
jpf-regression/ExDarko_true.yml	true	true	2.217742	2.2312900629995056	79.257600
jpf-regression/ExException_false.yml	false	false	1.740326	1.7592946250006207	78.163968
jpf-regression/ExException_true.yml	true	true	1.931425	1.9442566059997262	78.991360
jpf-regression/ExGenSymExe_false.yml	true	false	1.752905	1.7779410659995847	53.186560
jpf-regression/ExGenSymExe_true.yml	true	true	2.023529	2.0409189330002846	53.473280
jpf-regression/ExLazy_false.yml	true	false	1.824798	1.847044969000308	79.888384
jpf-regression/ExLazy_true.yml	true	true	1.816069	1.8190072380002675	78.544896
jpf-regression/ExMIT_false.yml	true	false	2.132452	2.149105759000122	78.643200
jpf-regression/ExMIT_true.yml	true	true	1.778485	1.791257924999627	79.015936
jpf-regression/ExSymExe10_false.yml	true	false	1.833869	1.8476569979993656	78.979072
jpf-regression/ExSymExe10_true.yml	true	true	2.083118	2.0962666599998556	78.221312
jpf-regression/ExSymExe11_false.yml	true	false	1.670097	1.686168539999926	53.800960
jpf-regression/ExSymExe11_true.yml	true	true	1.740535	1.7533586199997444	78.176256
jpf-regression/ExSymExe12_false.yml	true	false	2.173494	2.177345437999975	79.843328
jpf-regression/ExSymExe12_true.yml	true	true	1.795686	1.804081113000393	79.085568
jpf-regression/ExSymExe13_false.yml	true	false	1.708094	1.7220833409992338	79.433728
jpf-regression/ExSymExe13_true.yml	true	true	1.906537	1.9204497729997456	88.915968
jpf-regression/ExSymExe14_false.yml	true	false	2.118889	2.142552090999743	80.515072
jpf-regression/ExSymExe14_true.yml	true	true	1.724163	1.7373323480005638	79.867904
jpf-regression/ExSymExe15_false.yml	true	false	1.812098	1.834702279999874	79.749120
jpf-regression/ExSymExe15_true.yml	true	true	1.818145	1.8316724069991324	88.281088
jpf-regression/ExSymExe16_false.yml	true	false	1.981613	1.999365022999882	53.198848
jpf-regression/ExSymExe16_true.yml	true	true	1.607393	1.6192363659993134	53.575680
jpf-regression/ExSymExe17_false.yml	true	false	1.616871	1.6296244400000433	53.268480
jpf-regression/ExSymExe17_true.yml	true	true	1.94237	2.023340570000073	53.108736
jpf-regression/ExSymExe18_false.yml	true	false	1.942469	1.9667855469997448	78.209024
jpf-regression/ExSymExe18_true.yml	true	true	1.832582	1.859615467000367	53.559296
jpf-regression/ExSymExe19_false.yml	true	false	2.217779	2.244192699999985	87.482368
jpf-regression/ExSymExe19_true.yml	true	true	4.351006	4.412274490000527	115.613696
jpf-regression/ExSymExe1_false.yml	true	false	2.107282	2.121779568999955	114.491392
jpf-regression/ExSymExe1_true.yml	true	true	2.07281	2.08894148499985	55.943168
jpf-regression/ExSymExe20_false.yml	true	false	6.427558	6.451733473999411	156.925952
jpf-regression/ExSymExe20_true.yml	true	true	2.054831	2.139165721999234	53.665792
jpf-regression/ExSymExe21_false.yml	true	false	2.294233	2.319060533999618	115.212288
jpf-regression/ExSymExe21_true.yml	true	true	2.041793	2.065136899999743	56.119296
jpf-regression/ExSymExe25_false.yml	true	false	1.978522	1.9903158110000732	79.220736
jpf-regression/ExSymExe25_true.yml	true	true	2.022785	2.04901931600034	53.530624
jpf-regression/ExSymExe26_false.yml	true	false	2.48412	2.4980715129995588	115.269632
jpf-regression/ExSymExe26_true.yml	true	true	1.715728	1.7280482140004096	52.613120
jpf-regression/ExSymExe27_false.yml	true	false	2.172528	2.176079665000543	79.081472
jpf-regression/ExSymExe27_true.yml	true	true	1.683275	1.7024355599996852	53.608448
jpf-regression/ExSymExe28_false.yml	true	false	1.787708	1.8106618819992946	78.737408
jpf-regression/ExSymExe28_true.yml	true	true	2.03295	2.0640650659997846	53.305344
jpf-regression/ExSymExe29_false.yml	true	false	2.957217	2.9649945129995103	157.933568
jpf-regression/ExSymExe29_true.yml	true	true	1.916112	1.956468923999637	55.685120
jpf-regression/ExSymExe2_false.yml	true	false	2.957329	2.9750324400001773	129.892352
jpf-regression/ExSymExe2_true.yml	true	true	1.737106	1.7504291820005164	53.510144
jpf-regression/ExSymExe3_false.yml	true	false	1.985462	1.9904549419998148	78.213120
jpf-regression/ExSymExe3_true.yml	true	true	1.594883	1.617713612999978	53.993472
jpf-regression/ExSymExe4_false.yml	true	false	3.479143	3.4933772300000783	113.467392
jpf-regression/ExSymExe4_true.yml	true	true	1.598493	1.6110398119999445	53.501952
jpf-regression/ExSymExe5_false.yml	true	false	1.760995	1.766989542000374	78.503936
jpf-regression/ExSymExe5_true.yml	true	true	1.612153	1.6315672629998517	53.370880
jpf-regression/ExSymExe6_false.yml	true	false	1.647111	1.6502204460002758	78.053376
jpf-regression/ExSymExe6_true.yml	true	true	1.929205	1.9890872050000326	53.780480
jpf-regression/ExSymExe7_false.yml	true	false	1.879246	1.905965242000093	108.044288
jpf-regression/ExSymExe7_true.yml	true	true	1.937268	1.9767229170001883	113.692672
jpf-regression/ExSymExe8_false.yml	true	false	2.542637	2.556194788000539	117.415936
jpf-regression/ExSymExe8_true.yml	true	true	1.499218	1.51184208199993	52.338688
jpf-regression/ExSymExe9_false.yml	true	false	1.56768	1.5888579769998614	53.780480
jpf-regression/ExSymExe9_true.yml	true	true	1.574113	1.5948363629995583	53.182464
jpf-regression/ExSymExeArrays_false.yml	true	false	1.947731	1.9693997470003524	53.555200
jpf-regression/ExSymExeArrays_true.yml	true	true	1.556536	1.5602759909997985	53.788672
jpf-regression/ExSymExeBool_false.yml	true	false	1.680095	1.697884315999545	53.006336
jpf-regression/ExSymExeBool_true.yml	true	true	1.922919	1.944529852999949	53.080064
jpf-regression/ExSymExeComplexMath_false.yml	true	false	1.669565	1.6780167739998433	52.797440
jpf-regression/ExSymExeComplexMath_true.yml	true	true	1.696768	1.7153986630000873	52.989952
jpf-regression/ExSymExeD2I_false.yml	true	false	1.89495	1.9080387479998535	53.600256
jpf-regression/ExSymExeD2I_true.yml	true	true	1.677942	1.6877080989997921	78.966784
jpf-regression/ExSymExeD2L_false.yml	true	true	1.653471	1.6564698160000262	78.991360
jpf-regression/ExSymExeD2L_true.yml	true	true	1.697637	1.7008668380003655	81.625088
jpf-regression/ExSymExeF2I_false.yml	true	false	1.917955	1.9399456359997203	53.551104
jpf-regression/ExSymExeF2I_true.yml	true	true	1.66311	1.676352883000618	78.135296
jpf-regression/ExSymExeF2L_false.yml	true	true	1.57548	1.5885788010000397	78.233600
jpf-regression/ExSymExeF2L_true.yml	true	true	1.679579	1.7019650300007925	81.154048
jpf-regression/ExSymExeFNEG_false.yml	true	true	1.652196	1.6651762920000692	77.557760
jpf-regression/ExSymExeFNEG_true.yml	true	true	2.079087	2.082401466000192	78.376960
jpf-regression/ExSymExeGetStatic_false.yml	true	false	1.511594	1.5346013539992782	52.928512
jpf-regression/ExSymExeGetStatic_true.yml	true	true	1.586619	1.6022611419994064	55.644160
jpf-regression/ExSymExeI2D_false.yml	true	true	1.689866	1.696719825999935	78.954496
jpf-regression/ExSymExeI2D_true.yml	true	true	2.286175	2.301897424999879	113.389568
jpf-regression/ExSymExeI2F_false.yml	true	false	1.583669	1.602030275999823	53.854208
jpf-regression/ExSymExeI2F_true.yml	true	true	1.736623	1.739822561999972	78.274560
jpf-regression/ExSymExeLCMP_false.yml	true	false	1.701577	1.7045779829995809	79.450112
jpf-regression/ExSymExeLCMP_true.yml	true	true	2.115872	2.1299246560001848	80.084992
jpf-regression/ExSymExeLongBytecodes_false.yml	true	false	1.72256	1.7346715470002891	78.217216
jpf-regression/ExSymExeLongBytecodes_true.yml	true	true	1.716497	1.7327463599995099	79.413248
jpf-regression/ExSymExeResearch_false.yml	true	false	1.727761	1.7513607829996545	79.474688
jpf-regression/ExSymExeResearch_true.yml	true	true	1.750833	1.7537258259999362	79.982592
jpf-regression/ExSymExeSimple_false.yml	true	false	1.684834	1.6875627909994364	78.450688
jpf-regression/ExSymExeSimple_true.yml	true	true	2.148672	2.1619702719999623	79.360000
jpf-regression/ExSymExeSuzette_false.yml	true	false	1.706168	1.727968547999808	78.794752
jpf-regression/ExSymExeSuzette_true.yml	true	true	1.773881	1.7810126710000986	77.938688
jpf-regression/ExSymExeSwitch_false.yml	true	false	1.841042	1.8498631610000302	78.917632
jpf-regression/ExSymExeSwitch_true.yml	true	true	1.861865	1.8951024509997296	78.536704
jpf-regression/ExSymExeTestAssignments_false.yml	true	false	1.861821	1.882282337000106	78.581760
jpf-regression/ExSymExeTestAssignments_true.yml	true	true	1.815481	1.8350131429997418	78.262272
jpf-regression/ExSymExeTestClassFields_false.yml	true	false	2.164512	2.1894915240000046	81.850368
jpf-regression/ExSymExeTestClassFields_true.yml	true	true	1.707168	1.7203015650002271	78.585856
jpf-regression/ExSymExe_false.yml	true	false	1.672611	1.6909125839993067	53.989376
jpf-regression/ExSymExe_true.yml	true	true	1.68727	1.7062835340002493	54.730752
jpf-regression/TestLazy_false.yml	true	false	1.726726	1.7493906240006254	79.020032
jpf-regression/TestLazy_true.yml	true	true	2.083241	2.0965479589995084	78.438400
java-ranger-regression/TCAS_prop1.yml	true	false	2.886851	2.90600001599978	90.136576
