tool		SPF Friday 25 July 2025 04:48:22 AM IST	SPF Friday 25 July 2025 04:48:22 AM IST	SPF Friday 25 July 2025 04:48:22 AM IST	SPF Friday 25 July 2025 04:48:22 AM IST
run set		SV-COMP25_runtime-exception.RuntimeException-Java	SV-COMP25_runtime-exception.RuntimeException-Java	SV-COMP25_runtime-exception.RuntimeException-Java	SV-COMP25_runtime-exception.RuntimeException-Java
sv-benchmarks/java/		status	cputime (s)	walltime (s)	memory (MB)
jpf-regression/ExLazy_false.yml	true	false	1.661305	1.6830791620000127	78.188544
jpf-regression/ExLazy_true.yml	true	true	2.187615	2.1995842540000012	77.737984
jpf-regression/ExMIT_false.yml	true	false	1.580276	1.602943307999908	78.667776
jpf-regression/ExMIT_true.yml	true	true	1.648847	1.6603685439999936	79.028224
jpf-regression/ExSymExe10_false.yml	true	false	2.206979	2.219264039000109	79.425536
jpf-regression/ExSymExe10_true.yml	true	true	1.682587	1.6959501649999993	78.405632
jpf-regression/ExSymExe11_false.yml	true	false	1.54931	1.5683854970000084	54.296576
jpf-regression/ExSymExe11_true.yml	true	true	1.614424	1.625950372000034	78.643200
jpf-regression/ExSymExe12_false.yml	true	false	1.757757	1.7745165149999593	89.321472
jpf-regression/ExSymExe12_true.yml	true	true	2.370131	2.3875522600000068	89.366528
jpf-regression/ExSymExe13_false.yml	true	false	1.832974	1.8451010859999997	80.207872
jpf-regression/ExSymExe13_true.yml	true	true	1.823516	1.8376206760000287	79.675392
jpf-regression/ExSymExe14_false.yml	true	false	2.309923	2.3275749869999345	79.486976
jpf-regression/ExSymExe14_true.yml	true	true	1.782242	1.7854180419999466	78.983168
jpf-regression/ExSymExe15_false.yml	true	false	1.747853	1.7516356009999754	78.299136
jpf-regression/ExSymExe15_true.yml	true	true	2.300948	2.3092130400000315	89.182208
jpf-regression/ExSymExe16_false.yml	true	false	1.542883	1.5592459360000248	54.935552
jpf-regression/ExSymExe16_true.yml	true	true	1.500299	1.5134760260000348	54.394880
jpf-regression/ExSymExe17_false.yml	true	false	1.508027	1.520954684000003	53.346304
jpf-regression/ExSymExe17_true.yml	true	true	1.525421	1.5490442389999544	52.858880
jpf-regression/ExSymExe18_false.yml	true	false	2.206294	2.2177505299999893	79.683584
jpf-regression/ExSymExe18_true.yml	true	true	1.546206	1.5685249050000039	53.538816
jpf-regression/ExSymExe19_false.yml	true	false	1.756569	1.7683629099999507	79.790080
jpf-regression/ExSymExe19_true.yml	true	true	5.220476	5.2243909900000745	126.701568
jpf-regression/ExSymExe1_false.yml	true	false	2.296646	2.3100957089999383	123.617280
jpf-regression/ExSymExe1_true.yml	true	true	1.564303	1.5845700970000962	54.624256
jpf-regression/ExSymExe20_false.yml	true	false	5.000642	5.01373541800001	171.073536
jpf-regression/ExSymExe20_true.yml	true	true	1.547848	1.5513485459999856	54.677504
jpf-regression/ExSymExe21_false.yml	true	false	2.060539	2.0741709119999996	115.527680
jpf-regression/ExSymExe21_true.yml	true	true	2.096874	2.116156280000041	52.842496
jpf-regression/ExSymExe25_false.yml	true	false	1.706162	1.7296469230000184	80.502784
jpf-regression/ExSymExe25_true.yml	true	true	2.052107	2.0740866220000953	53.055488
jpf-regression/ExSymExe26_false.yml	true	false	2.327367	2.3506497810000155	115.576832
jpf-regression/ExSymExe26_true.yml	true	true	1.579056	1.5908416580000448	52.764672
jpf-regression/ExSymExe27_false.yml	true	false	2.185974	2.190980896000042	78.409728
jpf-regression/ExSymExe27_true.yml	true	true	1.604664	1.633050021000031	53.026816
jpf-regression/ExSymExe28_false.yml	true	false	1.799339	1.81301246299995	78.585856
jpf-regression/ExSymExe28_true.yml	true	true	1.984043	2.0132338140000456	56.115200
jpf-regression/ExSymExe29_false.yml	true	false	3.596413	3.6345123009999725	158.244864
jpf-regression/ExSymExe29_true.yml	true	true	1.841074	1.93827417600005	53.026816
jpf-regression/ExSymExe2_false.yml	true	false	2.366891	2.3956192719999763	116.285440
jpf-regression/ExSymExe2_true.yml	true	true	1.739543	1.7521400879999192	52.916224
jpf-regression/ExSymExe3_false.yml	true	false	2.260989	2.277769596999974	79.118336
jpf-regression/ExSymExe3_true.yml	true	true	1.645847	1.668728023999961	53.977088
jpf-regression/ExSymExe4_false.yml	true	false	2.98413	2.995922055000051	112.234496
jpf-regression/ExSymExe4_true.yml	true	true	1.686998	1.7102359759999217	52.801536
jpf-regression/ExSymExe5_false.yml	true	false	2.392515	2.396162559000004	78.684160
jpf-regression/ExSymExe5_true.yml	true	true	1.633781	1.65679825299992	55.226368
jpf-regression/ExSymExe6_false.yml	true	false	1.742075	1.7551674270000603	78.626816
jpf-regression/ExSymExe6_true.yml	true	true	2.069177	2.092705957000021	53.256192
jpf-regression/ExSymExe7_false.yml	true	false	1.912275	1.92695043599997	108.392448
jpf-regression/ExSymExe7_true.yml	true	true	1.887636	1.8911897140000065	114.016256
jpf-regression/ExSymExe8_false.yml	true	false	2.755467	2.7697997910000822	117.567488
jpf-regression/ExSymExe8_true.yml	true	true	1.664592	1.6857009990000051	56.479744
jpf-regression/ExSymExe9_false.yml	true	false	1.58809	1.6134676890000037	53.006336
jpf-regression/ExSymExe9_true.yml	true	true	1.615893	1.637203220999936	53.542912
jpf-regression/ExSymExeArrays_false.yml	true	false	1.575723	1.5974703780000254	53.714944
jpf-regression/ExSymExeArrays_true.yml	true	true	2.10084	2.123022681000066	52.572160
jpf-regression/ExSymExeBool_false.yml	true	false	1.625131	1.6488554700000577	53.166080
jpf-regression/ExSymExeBool_true.yml	true	true	1.610344	1.6320860760000642	53.518336
jpf-regression/ExSymExeComplexMath_false.yml	true	false	2.176977	2.199147016999973	54.095872
jpf-regression/ExSymExeComplexMath_true.yml	true	true	1.727198	1.7460358660000566	53.424128
jpf-regression/ExSymExeD2I_false.yml	true	false	1.674701	1.696228839000014	53.821440
jpf-regression/ExSymExeD2I_true.yml	true	true	2.254382	2.2631320879999066	77.398016
jpf-regression/ExSymExeD2L_false.yml	true	true	1.818936	1.8305891940000265	78.577664
jpf-regression/ExSymExeD2L_true.yml	true	true	1.778971	1.7907606950000172	78.139392
jpf-regression/ExSymExeF2I_false.yml	true	false	1.718799	1.7388362600000846	54.489088
jpf-regression/ExSymExeF2I_true.yml	true	true	1.848491	1.8619565000000193	78.016512
jpf-regression/ExSymExeF2L_false.yml	true	true	1.829988	1.8388240760000372	81.354752
jpf-regression/ExSymExeF2L_true.yml	true	true	2.363356	2.3827506530000164	78.819328
jpf-regression/ExSymExeFNEG_false.yml	true	true	1.861971	1.8793075439999711	81.539072
jpf-regression/ExSymExeFNEG_true.yml	true	true	1.758901	1.7628716609999628	78.249984
jpf-regression/ExSymExeGetStatic_false.yml	true	false	1.719015	1.7323380950000455	53.092352
jpf-regression/ExSymExeGetStatic_true.yml	true	true	2.10384	2.1265995019999764	52.740096
jpf-regression/ExSymExeI2D_false.yml	true	true	1.796098	1.8079181260000041	80.162816
jpf-regression/ExSymExeI2D_true.yml	true	true	1.966387	1.977275039999995	112.463872
jpf-regression/ExSymExeI2F_false.yml	true	false	1.643467	1.6673144149999644	53.428224
jpf-regression/ExSymExeI2F_true.yml	true	true	2.31938	2.329927397000006	78.110720
jpf-regression/ExSymExeLCMP_false.yml	true	false	1.776071	1.7923464329999206	78.684160
jpf-regression/ExSymExeLCMP_true.yml	true	true	1.795096	1.7987649119999105	79.433728
jpf-regression/ExSymExeLongBytecodes_false.yml	true	false	1.819149	1.8423232290000442	79.450112
jpf-regression/ExSymExeLongBytecodes_true.yml	true	true	1.928041	1.9428825900000675	79.249408
jpf-regression/ExSymExeResearch_false.yml	true	false	2.378025	2.4031490799999347	79.556608
jpf-regression/ExSymExeResearch_true.yml	true	true	1.921373	1.9367086839999956	79.949824
jpf-regression/ExSymExeSimple_false.yml	true	false	1.831308	1.8777034120000735	78.192640
jpf-regression/ExSymExeSimple_true.yml	true	true	1.789138	1.801833381999927	78.524416
jpf-regression/ExSymExeSuzette_false.yml	true	false	1.756263	1.7600288080000155	80.031744
jpf-regression/ExSymExeSuzette_true.yml	true	true	2.316232	2.330401668000036	79.699968
jpf-regression/ExSymExeSwitch_false.yml	true	false	1.706507	1.7192378409999947	78.454784
jpf-regression/ExSymExeSwitch_true.yml	true	true	1.949509	1.9642331109999986	80.125952
jpf-regression/ExSymExeTestAssignments_false.yml	true	false	2.022437	2.0591378279999617	88.371200
jpf-regression/ExSymExeTestAssignments_true.yml	true	true	2.030132	2.0853145110000924	87.945216
jpf-regression/ExSymExeTestClassFields_false.yml	true	false	2.430586	2.46920189399998	78.532608
jpf-regression/ExSymExeTestClassFields_true.yml	true	true	1.905325	1.9184475170000042	77.955072
jpf-regression/ExSymExe_false.yml	true	false	1.804793	1.822186438000017	54.665216
jpf-regression/ExSymExe_true.yml	true	true	1.814063	1.8322626100000434	53.628928
jpf-regression/TestLazy_false.yml	true	false	2.340387	2.3571343769999658	79.331328
jpf-regression/TestLazy_true.yml	true	true	1.79918	1.8152347999999847	78.520320
java-ranger-regression/TCAS_prop1.yml	true	false	3.217047	3.240238250999937	89.575424
java-ranger-regression/TCAS_prop2.yml	true	true	9.579735	9.592199919999985	132.931584
