tool		SPF Thursday 21 August 2025 11:10:18 PM IST	SPF Thursday 21 August 2025 11:10:18 PM IST	SPF Thursday 21 August 2025 11:10:18 PM IST	SPF Thursday 21 August 2025 11:10:18 PM IST
run set		SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java
sv-benchmarks/java/		status	cputime (s)	walltime (s)	memory (MB)
jbmc-regression/if_acmp1.yml	true	true	1.902172	2.4450460400003067	53.526528
jbmc-regression/if_expr1.yml	true	true	2.105625	2.6878618150003604	79.851520
jbmc-regression/if_icmp1.yml	true	true	2.110644	2.8601994330001617	79.261696
jbmc-regression/ifxx1.yml	true	true	1.837963	2.2312390970000706	52.785152
jbmc-regression/instanceof1.yml	true	true	1.907084	2.4893821839996235	53.362688
jbmc-regression/instanceof2.yml	true	true	1.836309	2.211140835999686	53.968896
jbmc-regression/instanceof3.yml	true	true	1.896838	2.15713387300093	53.923840
jbmc-regression/instanceof4.yml	true	true	1.951372	2.550104312000258	53.420032
jbmc-regression/instanceof5.yml	true	true	2.005602	2.553491851000217	54.001664
jbmc-regression/instanceof6.yml	true	true	1.934101	2.3555306140005996	53.133312
jbmc-regression/instanceof7.yml	true	true	2.001102	2.3402854570013005	53.518336
jbmc-regression/instanceof8.yml	true	true	2.02916	2.408069932000217	53.161984
jbmc-regression/interface1.yml	false	false	2.007884	2.270366976999867	53.747712
jbmc-regression/java_append_char.yml	false	false	2.125043	2.750729951001631	79.081472
jbmc-regression/lazyloading4.yml	true	true	1.936445	2.1487980789988796	53.542912
jbmc-regression/list1.yml	true	true	112.820928	142.0421542460008	162.971648
jbmc-regression/long1.yml	true	true	1.852288	2.116282097998919	53.735424
jbmc-regression/lookupswitch1.yml	true	true	2.230544	2.9231888089998392	78.807040
jbmc-regression/multinewarray.yml	true	true	1.92787	2.496160083999712	53.301248
jbmc-regression/overloading1.yml	true	true	1.900385	2.1896477620011865	53.637120
jbmc-regression/package1.yml	true	true	1.906636	2.3403725789994496	53.293056
jbmc-regression/putfield_getfield1.yml	true	true	1.905857	2.2733732470005634	53.768192
jbmc-regression/putstatic_getstatic1.yml	true	true	1.897403	2.0735704329999862	54.247424
jbmc-regression/recursion2.yml	true	true	1.969213	2.5751714130001346	53.817344
jbmc-regression/return1.yml	false	false	2.010544	2.4389912690003257	52.924416
jbmc-regression/return2.yml	false	false	2.233256	2.593699461998767	86.786048
jbmc-regression/store_load1.yml	true	true	2.06581	2.6607906550016196	58.163200
jbmc-regression/swap1.yml	true	true	1.959989	2.1901068590013892	54.210560
jbmc-regression/synchronized.yml	true	true	1.951021	2.3584410509993177	53.059584
jbmc-regression/tableswitch1.yml	true	true	2.259925	2.8926236079987575	79.691776
jbmc-regression/uninitialised1.yml	true	true	2.021446	2.8577275490006286	53.538816
jbmc-regression/virtual1.yml	true	true	1.854208	2.0931347790010477	54.251520
jbmc-regression/virtual2.yml	false	false	1.887416	2.232803505999982	55.255040
jbmc-regression/virtual4.yml	true	true	1.904962	2.726165410000249	54.915072
jbmc-regression/virtual_function_unwinding.yml	true	true	1.989364	2.8978818920004414	54.493184
jpf-regression/ExDarko_false.yml	false	false	2.302995	2.8655491859990434	78.987264
jpf-regression/ExDarko_true.yml	true	true	2.174909	2.5034635419997358	79.351808
jpf-regression/ExException_false.yml	false	false	2.320275	3.4788525410003786	78.368768
jpf-regression/ExException_true.yml	true	true	2.224415	2.673261679999996	78.614528
jpf-regression/ExGenSymExe_false.yml	false	false	2.04773	2.551094895999995	53.477376
jpf-regression/ExGenSymExe_true.yml	true	true	2.098978	2.677462399000433	52.707328
jpf-regression/ExLazy_false.yml	false	false	2.16346	2.620091720000346	78.315520
jpf-regression/ExLazy_true.yml	true	true	2.034107	2.3504644249987905	79.761408
jpf-regression/ExMIT_false.yml	false	false	2.089558	2.895650200998716	78.524416
jpf-regression/ExMIT_true.yml	true	true	2.084994	2.475533118000385	79.912960
jpf-regression/ExSymExe10_false.yml	false	false	2.015024	2.2335299490005127	79.241216
